URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
39,https://insights.blackcoﬀer.com/what-jobs-will-robots-take-from-humans-in-the-future/,196,121,0.23659305919055817,196.0627603360996,22.41860465116279,0.17686721991701246,9.038188748431923,22.41860465116279,341,1054,2059,4,4.907157676348548
40,https://insights.blackcoﬀer.com/will-machine-replace-the-human-in-the-future-of-work/,257,93,0.46857142723265305,257.0504622045578,19.197916666666668,0.1068909386869235,7.721923042141437,19.197916666666668,197,983,1681,4,4.425935973955507
41,https://insights.blackcoﬀer.com/will-ai-replace-us-or-work-with-us/,245,81,0.503067483119425,245.04074546680081,24.85,0.10311871227364185,9.981247484909458,24.85,205,1034,1855,4,4.6061368209255535
46,https://insights.blackcoﬀer.com/deep-learning-impact-on-areas-of-e-learning/,264,127,0.3503836308174332,264.05239373927395,29.5609756097561,0.11922442244224422,11.872080012879337,29.5609756097561,289,1247,2271,5,4.509075907590759
51,https://insights.blackcoﬀer.com/future-of-work-how-ai-has-entered-the-workplace/,225,93,0.4150943383173134,225.04946908510638,22.650602409638555,0.1276595744680851,9.111304793642658,22.650602409638555,240,992,1741,5,4.6
58,https://insights.blackcoﬀer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,121,119,0.008333333298611112,121.07727372727273,27.5,0.12402597402597403,11.04961038961039,27.5,191,821,1540,4,4.706493506493507
63,https://insights.blackcoﬀer.com/what-is-the-future-of-mobile-apps/,111,48,0.3962264126023496,111.03715270278637,25.84,0.11222910216718267,10.380891640866874,25.84,145,712,1198,5,4.41795665634675
64,https://insights.blackcoﬀer.com/impact-of-ai-in-health-and-medicine/,85,35,0.4166666631944445,85.049787628734,29.291666666666668,0.15362731152204837,11.778117591275487,29.291666666666668,108,397,768,3,4.9544807965860596
66,https://insights.blackcoﬀer.com/how-we-forecast-future-technologies/,27,11,0.4210526204986153,27.058511638297873,15.666666666666666,0.14361702127659576,6.324113475177305,15.666666666666666,27,109,201,3,4.941489361702128
67,https://insights.blackcoﬀer.com/can-robots-tackle-late-life-loneliness/,110,85,0.12820512754766603,110.08891313389121,16.771929824561404,0.11506276150627615,6.754797034427073,16.771929824561404,110,449,818,4,4.166317991631799
72,https://insights.blackcoﬀer.com/will-we-ever-understand-the-nature-of-consciousness/,189,148,0.12166172070723526,189.07452265156093,26.48,0.10976837865055387,10.635907351460222,26.48,218,1016,2058,5,4.79154078549849
73,https://insights.blackcoﬀer.com/will-we-ever-colonize-outer-space/,254,130,0.32291666582573786,254.0678152931664,27.385714285714286,0.09650495565988523,10.99288769654967,27.385714285714286,185,945,1759,3,4.430881585811163
74,https://insights.blackcoﬀer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,185,94,0.3261648733829216,185.05582047743468,20.289156626506024,0.09501187648456057,8.153667401196234,20.289156626506024,160,864,1512,4,4.34144893111639
75,https://insights.blackcoﬀer.com/why-does-your-business-need-a-chatbot/,99,35,0.4776119367342393,99.03486155776892,15.936507936507937,0.07569721115537849,6.404882059065327,15.936507936507937,76,448,824,3,4.163346613545817
79,https://insights.blackcoﬀer.com/how-to-overcome-your-fear-of-making-mistakes-2/,128,126,0.007874015717031434,128.10778543113773,15.181818181818182,0.11120615911035073,6.1172097363714135,15.181818181818182,130,555,969,5,4.2001710863986315
82,https://insights.blackcoﬀer.com/gender-diversity-and-equality-in-the-tech-industry/,126,103,0.1004366807841193,126.06182572989195,20.317073170731707,0.10864345738295318,8.170286651245865,20.317073170731707,181,887,1513,5,4.641656662665066
83,https://insights.blackcoﬀer.com/how-to-overcome-your-fear-of-making-mistakes/,133,139,-0.02205882344831315,133.1134703877551,15.3125,0.1110204081632653,6.169408163265306,15.3125,136,586,1032,5,4.244897959183674
84,https://insights.blackcoﬀer.com/how-small-business-can-survive-the-coronavirus-crisis/,209,99,0.3571428559833024,209.05689755172415,32.22222222222222,0.08505747126436781,12.922911877394638,32.22222222222222,148,877,1515,4,4.470689655172414
85,https://insights.blackcoﬀer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,92,63,0.18709677298647243,92.07411864705882,36.95652173913044,0.09529411764705882,14.820726342710998,36.95652173913044,81,452,844,3,4.790588235294118
86,https://insights.blackcoﬀer.com/impacts-of-covid-19-on-vegetable-vendors/,138,88,0.221238937074164,138.06601750412602,36.027027027027025,0.11702925731432859,14.457622513736542,36.027027027027025,156,723,1384,3,4.939234808702175
88,https://insights.blackcoﬀer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,242,136,0.2804232796814199,242.03411186029595,20.341836734693878,0.08226736894908453,8.169641641457186,20.341836734693878,328,2293,3698,5,4.362929520943065
89,https://insights.blackcoﬀer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,186,120,0.21568627380494682,186.0613193444047,23.297619047619047,0.12110373019928462,9.367489111127332,23.297619047619047,237,1003,1818,5,4.634644864588656
91,https://insights.blackcoﬀer.com/human-rights-outlook/,18,13,0.1612903173777317,18.06806382722513,21.22222222222222,0.09947643979057591,8.52867946480512,21.22222222222222,19,97,171,3,4.329842931937173
92,https://insights.blackcoﬀer.com/how-voice-search-makes-your-business-a-successful-business/,133,69,0.31683168159984315,133.05933032072227,25.844444444444445,0.10318142734307825,10.37905034871501,25.844444444444445,120,578,1058,4,4.252794496990542
94,https://insights.blackcoﬀer.com/how-to-increase-social-media-engagement-for-marketers/,218,114,0.3132530111046596,218.05602065601965,21.42105263157895,0.1375921375921376,8.623457907668435,21.42105263157895,280,1068,2053,5,4.525798525798526
95,https://insights.blackcoﬀer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,129,88,0.18894009129520695,129.0730907009967,25.617021276595743,0.10465116279069768,10.288668975754577,25.617021276595743,126,645,1100,5,4.583887043189368
96,https://insights.blackcoﬀer.com/coronavirus-impact-on-energy-markets-2/,154,93,0.24696356175318396,154.04657085478217,32.20967741935484,0.11667501251877817,12.930540972749448,32.20967741935484,233,1117,2001,3,4.85628442663996
